Wydział;Kierunek;Grupa_ogolna;Wada;Ilosc;Kategoria_wady
Z4WF;PL;Futryny;Błąd produkcji - niezgodność z zamówieniem, konfiguracją;1;Błędy produkcji
Z1WD;PL;Drzwi;Błąd produkcji - odklejanie wystroi/ramek/wstawek aluminiowych;9;Błędy produkcji
Z2WF;EX;Drzwi;Błąd produkcji - odklejanie wystroi/ramek/wstawek aluminiowych;1;Błędy produkcji
Z3WD;PL;Drzwi;Błąd produkcji - odklejanie wystroi/ramek/wstawek aluminiowych;2;Błędy produkcji
Z1WD;PL;Drzwi;Niezgodność z zamówieniem (brak okuć pozostałe poza całymi zawiasami)- Niewłaściwa realizacja zamówienia - błąd w produkcji;1;Niezgodność z zamówieniem
Z1WD;PL;Futryny;Niezgodność z zamówieniem (brak okuć pozostałe poza całymi zawiasami)- Niewłaściwa realizacja zamówienia - błąd w produkcji;1;Niezgodność z zamówieniem
Z2WD;EX;Drzwi;Niezgodność z zamówieniem (brak okuć pozostałe poza całymi zawiasami)- Niewłaściwa realizacja zamówienia - błąd w produkcji;1;Niezgodność z zamówieniem
Z2WD;PL;Drzwi;Niezgodność z zamówieniem (brak okuć pozostałe poza całymi zawiasami)- Niewłaściwa realizacja zamówienia - błąd w produkcji;2;Niezgodność z zamówieniem
Z2WF;PL;Drzwi;Niezgodność z zamówieniem (brak okuć pozostałe poza całymi zawiasami)- Niewłaściwa realizacja zamówienia - błąd w produkcji;4;Niezgodność z zamówieniem
Z2WF;PL;Futryny;Niezgodność z zamówieniem (brak okuć pozostałe poza całymi zawiasami)- Niewłaściwa realizacja zamówienia - błąd w produkcji;6;Niezgodność z zamówieniem
Z2WF;PL;Listwa,opaska,panel kpl;Niezgodność z zamówieniem (brak okuć pozostałe poza całymi zawiasami)- Niewłaściwa realizacja zamówienia - błąd w produkcji;2;Niezgodność z zamówieniem
Z3WD;PL;Drzwi;Niezgodność z zamówieniem (brak okuć pozostałe poza całymi zawiasami)- Niewłaściwa realizacja zamówienia - błąd w produkcji;4;Niezgodność z zamówieniem
Z3WD;PL;Futryny;Niezgodność z zamówieniem (brak okuć pozostałe poza całymi zawiasami)- Niewłaściwa realizacja zamówienia - błąd w produkcji;3;Niezgodność z zamówieniem
Z4WF;PL;Drzwi;Niezgodność z zamówieniem (brak okuć pozostałe poza całymi zawiasami)- Niewłaściwa realizacja zamówienia - błąd w produkcji;1;Niezgodność z zamówieniem
Z4WF;PL;Futryny;Niezgodność z zamówieniem (brak okuć pozostałe poza całymi zawiasami)- Niewłaściwa realizacja zamówienia - błąd w produkcji;5;Niezgodność z zamówieniem
